อ	A
อชฺฌภาสิ	Ajjhabhāsi
อชฺฌภุ	Ajjhabhu
อชฺฌยน	Ajjhayana
อชฺฌโวทหิ	Ajjhavodahi
อชฺฌาคาเร	Ajjhāgāre
อชฺฌาจรติ	Ajjhācarati
อชฺฌาจาร	Ajjhācāra
อชฺฌาจิณฺณ	Ajjhāciṇṇa
อชฺฌาชีว	Ajjhājīva
อชฺฌาปชฺชติ	Ajjhāpajjati
อชฺฌาปตฺติ	Ajjhāpatti
อชฺฌาปน	Ajjhāpana
อชฺฌาปนฺน	Ajjhāpanna
อชฺฌาปีฬิต	Ajjhāpīḷita
อชฺฌาภว	Ajjhābhava
อชฺฌาภวติ	Ajjhābhavati
อชฺฌายก	Ajjhāyaka
อชฺฌารุห	Ajjhāruha
อชฺฌารูฬฺห	Ajjhārūḷha
อชฺฌารูหติ	Ajjhārūhati
อชฺฌาวทติ	Ajjhāvadati
อชฺฌาวร	Ajjhāvara
อชฺฌาวสตรฺ	Ajjhāvasatar
อชฺฌาวสติ	Ajjhāvasati
อชฺฌาวุตฺถ	Ajjhāvuttha
อชฺฌาสย	Ajjhāsaya
อชฺฌาสยตา	Ajjhāsayatā
อชฺฌาสิต	Ajjhāsita
อชฺฌิฏฺฐ	Ajjhiṭṭha
อชฺฌุปคจฺฉติ	Ajjhupagacchati
อชฺฌุปคต	Ajjhupagata
อชฺฌุปคมน	Ajjhupagamana
อชฺฌุปหรติ	Ajjhupaharati
อชฺฌุเปกฺขติ	Ajjhupekkhati
อชฺฌุเปกฺขน	Ajjhupekkhana
อชฺฌุเปกฺขิตรฺ	Ajjhupekkhitar
อชฺฌุเปติ	Ajjhupeti
อชฺเฌติ	Ajjheti
อชฺเฌน	Ajjhena
อชฺเฌสติ	Ajjhesati
อชฺเฌสนฺติ	Ajjhesanti
อชฺเฌสนา	Ajjhesanā
อชฺเฌสิต	Ajjhesita
อชฺโฌกาส	Ajjhokāsa
อชฺโฌคาฬฺห	Ajjhogāḷha
อชฺโฌคาหติ	Ajjhogāhati
อชฺโฌฐเปติ	Ajjhoṭhapeti
อชฺโฌตฺถต	Ajjhotthata
อชฺโฌตฺถรติ	Ajjhottharati
อชฺโฌปนฺน	Ajjhopanna
อชฺโฌภวติ	Ajjhobhavati
อชฺโฌมทฺทติ	Ajjhomaddati
อชฺโฌมุจฺฉิต	Ajjhomucchita
อชฺโฌลมฺพติ	Ajjholambati
อชฺโฌส	Ajjhosa
อชฺโฌสติ	Ajjhosati
อชฺโฌสาน	Ajjhosāna
อชฺโฌสาย	Ajjhosāya
อชฺโฌสิต	Ajjhosita
อชฺโฌหต	Ajjhohata
อชฺโฌหรณ	Ajjhoharaṇa
อชฺโฌหรณิย	Ajjhoharaṇiya
อชฺโฌหรติ	Ajjhoharati
อชฺโฌหาร	Ajjhohāra
อญฺจติ	Añcati
อญฺฉติ	Añchati
อญฺช	Añja
อญฺชติ	Añjati
อญฺชน	Añjana
อญฺชนิสลาก	Añjanisalāka
อญฺชนี	Añjanī
อญฺชย	Añjaya
อญฺชลิ	Añjali
อญฺชลิกา	Añjalikā
อญฺชส	Añjasa
อญฺชิต	Añjita
อญฺญ	Añña
อญฺญตม	Aññatama
อญฺญตร	Aññatara
อญฺญตฺถ	Aññattha
อญฺญตฺร	Aññatra
อญฺญถตฺต	Aññathatta
อญฺญถา	Aññathā
อญฺญทตฺถุ	Aññadatthu
อญฺญทา	Aññadā
อญฺญา	Aññā
อญฺญาณ	Aññāṇa
อญฺญาณก	Aññāṇaka
อญฺญาณินฺ	Aññāṇin
อญฺญาต	Aññāta
อญฺญาตก	Aññātaka
อญฺญาตรฺ	Aññātar
อญฺญาตาวินฺ	Aññātāvin
อญฺญาตุกาม	Aññātukāma
อญฺญาย	Aññāya
อญฺโญญฺญ	Aññoñña
อญฺหมาน	Añhamāna
อฏฏ	Aṭaṭa
อฏณก	Aṭaṇaka
อฏนี	Aṭanī
อฏล	Aṭala
อฏวี	Aṭavī
อฏฺฏ	Aṭṭa
อฏฺฏก	Aṭṭaka
อฏฺฏาน	Aṭṭāna
อฏฺฏาล	Aṭṭāla
อฏฺฏาลก	Aṭṭālaka
อฏฺฏิต	Aṭṭita
อฏฺฏิยติ	Aṭṭiyati
อฏฺฏิยน	Aṭṭiyana
อฏฺฐ	Aṭṭha
อฏฺฐก	Aṭṭhaka
อฏฺฐม	Aṭṭhama
อฏฺฐมก	Aṭṭhamaka
อฏฺฐาน	Aṭṭhāna
อฏฺฐิ	Aṭṭhi°
อฏฺฐิก	Aṭṭhika
อฏฺฐิต	Aṭṭhita
อฏฺฐิลฺล	Aṭṭhilla
อฑฺฒ	Aḍḍha
อฑฺฒก	Aḍḍhaka
อฑฺฒตา	Aḍḍhatā
อณ	Aṇa
อณุ	Aṇu
อณุก	Aṇuka
อณฺฑ	Aṇḍa
อณฺฑก	Aṇḍaka
อณฺณ	Aṇṇa
อณฺณว	Aṇṇava
อณฺห	Aṇha
อตกฺกก	Atakkaka
อตจฺฉ	Ataccha
อตนฺทิต	Atandita
อติ	Ati
อติ-อมฺพิล	Ati-ambila
อติ-อรหนฺตฺ	Ati-Arahant
อติ-อิสฺสร	Ati-issara
อติ-อุณฺห	Ati-uṇha
อติ-อุตฺตม	Ati-uttama
อติ-อุทก	Ati-udaka
อติ-อุสฺสุร	Ati-ussura
อติ-เอติ	Ati-eti
อติอมฺพิล	Ati-ambila
อติอรหนฺตฺ	Ati-Arahant
อติอิสฺสร	Ati-issara
อติอุณฺห	Ati-uṇha
อติอุตฺตม	Ati-uttama
อติอุทก	Ati-udaka
อติอุสฺสุร	Ati-ussura
อติเอติ	Ati-eti
อติกต	Atikata
อติกฑฺฒติ	Atikaḍḍhati
อติกณฺห	Atikaṇha
