อ	A
อุพฺพิสติ	Ubbisati
อุพฺพูฬฺหวนฺตฺ	Ubbūḷhavant
อุพฺเพค	Ubbega
อุพฺเพคินฺ	Ubbegin
อุพฺเพชนีย	Ubbejanīya
อุพฺเพชิตรฺ	Ubbejitar
อุพฺเพเชติ	Ubbejeti
อุพฺเพฐน	Ubbeṭhana
อุพฺเพธ	Ubbedha
อุพฺเพธติ	Ubbedhati
อุพฺภํ	Ubbhaṃ
อุพฺภฏฺฐก	Ubbhaṭṭhaka
อุพฺภณฺฑิต	Ubbhaṇḍita
อุพฺภต	Ubbhata
อุพฺภว	Ubbhava
อุพฺภาร	Ubbhāra
อุพฺภิชฺชติ	Ubbhijjati
อุพฺภิท	Ubbhida
อุพฺภินฺน	Ubbhinna
อุพฺภุชติ	Ubbhujati
อุภ	Ubha
อุภโต	Ubhato
อุภย	Ubhaya
อุภยตฺถ	Ubhayattha
อุโภ	Ubho
อุมฺมคฺค	Ummagga
อุมฺมงฺค	Ummaṅga
อุมฺมตฺต	Ummatta
อุมฺมตฺตก	Ummattaka
อุมฺมทฺเทติ	Ummaddeti
อุมฺมสติ	Ummasati
อุมฺมสนา	Ummasanā
อุมฺมา	Ummā
อุมฺมาท	Ummāda
อุมฺมาทนา	Ummādanā
อุมฺมาร	Ummāra
อุมฺมิ	Ummi
อุมฺมิสติ	Ummisati
อุมฺมิหติ	Ummihati
อุมฺมีเลติ	Ummīleti
อุมฺมุก	Ummuka
อุมฺมุชฺชติ	Ummujjati
อุมฺมุชฺชน	Ummujjana
อุมฺมุชฺชมานก	Ummujjamānaka
อุมฺมุชฺชา	Ummujjā
อุมฺมูล	Ummūla
อุมฺมูลก	Ummūlaka
อุมฺมูเลติ	Ummūleti
อุมฺหยติ	Umhayati
อุยฺยสฺสุ	Uyyassu
อุยฺยาติ	Uyyāti
อุยฺยาน	Uyyāna
อุยฺยานวนฺตฺ	Uyyānavant
อุยฺยาม	Uyyāma
อุยฺยุญฺชติ	Uyyuñjati
อุยฺยุต	Uyyuta
อุยฺยุตฺต	Uyyutta
อุยฺโยค	Uyyoga
อุยฺโยชน	Uyyojana
อุยฺโยชิต	Uyyojita
อุยฺโยเชติ	Uyyojeti
อุยฺโยธิก	Uyyodhika
อุร	Ura
อุรพฺภ	Urabbha
อุราณี	Urāṇī
อุรุ	Uru
อุรุนฺทา	Urundā
อุรูฬฺหว	Urūḷhava
อุลติ	Ulati
อุลูก	Ulūka
อุลฺลงฺฆติ	Ullaṅghati
อุลฺลงฺฆนา	Ullaṅghanā
อุลฺลงฺฆิต	Ullaṅghita
อุลฺลปติ	Ullapati
อุลฺลปน	Ullapana
อุลฺลหก	Ullahaka
อุลฺลาป	Ullāpa
อุลฺลิขน	Ullikhana
อุลฺลิขิต	Ullikhita
อุลฺลิงฺเคติ	Ulliṅgeti
อุลฺลิตฺต	Ullitta
อุลฺลุมฺปติ	Ullumpati
อุลฺลุมฺปน	Ullumpana
อุลฺลุลิต	Ullulita
อุลฺโลก	Ulloka
อุลฺโลกก	Ullokaka
อุลฺโลกิต	Ullokita
อุลฺโลเกติ	Ulloketi
อุลฺโลปน	Ullopana
อุลฺโลล	Ullola
อุลฺโลลนา	Ullolanā
อุลฺโลเลติ	Ulloleti
อุฬาร	Uḷāra
อุฬารตา	Uḷāratā
อุฬารตฺต	Uḷāratta
อุฬุ	Uḷu
อุฬุนฺก	Uḷunka
อุฬุมฺป	Uḷumpa
อุวิฏฺฏ	Uviṭṭa
อุสภ	Usabha
อุสา	Usā
อุสีร	Usīra
อุสุ	Usu
อุสุมา	Usumā
อุสุยฺยก	Usuyyaka
อุสุยฺยติ	Usuyyati
อุสุยฺยนา	Usuyyanā
อุสุยฺยา	Usuyyā
อุสฺมา	Usmā
อุสฺส	Ussa
อุสฺสกฺกติ	Ussakkati
อุสฺสงฺกิต	Ussaṅkita
อุสฺสงฺกินฺ	Ussaṅkin
อุสฺสงฺข	Ussaṅkha
อุสฺสชฺชติ	Ussajjati
อุสฺสฏ	Ussaṭa
อุสฺสท	Ussada
อุสฺสทก	Ussadaka
อุสฺสนฺน	Ussanna
อุสฺสนฺนตา	Ussannatā
อุสฺสย	Ussaya
อุสฺสยาเปติ	Ussayāpeti
อุสฺสรติ	Ussarati
อุสฺสว	Ussava
อุสฺสหติ	Ussahati
อุสฺสาท	Ussāda
อุสฺสาทน	Ussādana
อุสฺสาทิต	Ussādita
อุสฺสาทิยติ	Ussādiyati
อุสฺสาเทติ	Ussādeti
อุสฺสาปน	Ussāpana
อุสฺสาปิต	Ussāpita
อุสฺสาเปติ	Ussāpeti
อุสฺสารณ	Ussāraṇa
อุสฺสาริต	Ussārita
อุสฺสาเรติ	Ussāreti
อุสฺสาว	Ussāva
อุสฺสาวน	Ussāvana
อุสฺสาส	Ussāsa
อุสฺสาห	Ussāha
อุสฺสาหน	Ussāhana
อุสฺสาหิต	Ussāhita
อุสฺสิญฺจติ	Ussiñcati
อุสฺสิญฺจน	Ussiñcana
อุสฺสิต	Ussita
อุสฺสีสก	Ussīsaka
อุสฺสุก	Ussuka
อุสฺสุกิต	Ussukita
อุสฺสุกินฺ	Ussukin
อุสฺสุกฺก	Ussukka
อุสฺสุกฺกตา	Ussukkatā
อุสฺสุกฺกติ	Ussukkati
อุสฺสุต	Ussuta
อุสฺสุยา	Ussuyā
อุสฺสุสฺสติ	Ussussati
อุสฺสูร	Ussūra
อุสฺเสติ	Usseti
อุสฺเสเนติ	Usseneti
อุสฺเสฬฺเหติ	Usseḷheti
อุสฺโสต	Ussota
อุสฺโสฬฺหิ	Ussoḷhi
อุสฺโสฬฺหิกา	Ussoḷhikā
อุหุงฺกร	Uhuṅkara
อูกา	Ūkā
อูตคีตํ	Ūtagītaṃ
อูน	Ūna
อูนก	Ūnaka
อูนตฺต	Ūnatta
อูปาย	Ūpāya
อูปิย	Ūpiya
อูมิก	Ūmika
อูมี	Ūmī
อูรุ	Ūru
อูส	Ūsa
อูสร	Ūsara
อูห	Ūha
อูหจฺจ	Ūhacca
อูหญฺญติ	Ūhaññati
อูหต	Ūhata
อูหทติ	Ūhadati
อูหน	Ūhana
อูหนติ	Ūhanati
อูหรติ	Ūharati
อูหสติ	Ūhasati
อูหสน	Ūhasana
อูหา	Ūhā
เอก	Eka
เอกํส	Ekaṃsa
เอกํสิก	Ekaṃsika
เอกํสิกตา	Ekaṃsikatā
เอกก	Ekaka
เอกจฺจ	Ekacca
เอกจฺจิก	Ekaccika
เอกจฺจิย	Ekacciya
เอกชฺฌํ	Ekajjhaṃ
เอกโต	Ekato
เอกตฺต	Ekatta
เอกตฺตตา	Ekattatā
เอกทตฺถุ	Ekadatthu
เอกทา	Ekadā
เอกนฺต	Ekanta
เอกนฺตริก	Ekantarika
เอกมนฺตํ	Ekamantaṃ
เอกเมก	Ekameka
เอกวิธ	Ekavidha
เอกโส	Ekaso
เอกากิย	Ekākiya
เอกาทส	Ekādasa
เอกานิก	Ekānika
เอกิกา	Ekikā
เอกีภาว	Ekībhāva
เอโกทิ	Ekodi
เอชา	Ejā
เอฏฺฐ	Eṭṭha
เอฏฺฐิ	Eṭṭhi
เอณิ	Eṇi
เอเณยฺย	Eṇeyya
เอตทฺ	Etad
เอตรหิ	Etarahi
เอตาทิส	Etādisa
เอเต	Ete
เอติ	Eti
เอตฺต	Etta
เอตฺตก	Ettaka
เอตฺตโต	Ettato
เอตฺตาวตา	Ettāvatā
เอตฺโต	Etto
เอตฺถ	Ettha
เอทิส	Edisa
เอทิสก	Edisaka
เอธ	Edha
เอธติ	Edhati
เอน	Ena
เอรก	Eraka
เอรณฺฑ	Eraṇḍa
เอราวณ	Erāvaṇa
เอริต	Erita
เอเรติ	Ereti
เอล	Ela
เอลณฺฑ	Elaṇḍa
เอลมฺพรก	Elambaraka
เอลาลุก	Elāluka
เอฬ	Eḷa
เอฬก	Eḷaka
เอฬคล	Eḷagala
เอฬคลา	Eḷagalā
เอฬคฺค	Eḷagga
เอว	Eva
เอวํ	Evaṃ
เอส	Esa
เอโส	Eso
เอสติ	Esati
เอสนา	Esanā
เอสนี	Esanī
เอสภ	Esabha
เอสิก	Esika
เอสิกา	Esikā
เอสินฺ	Esin
เอหิ	Ehi
โอ	O
โอก	Oka
โอกฑฺฒติ	Okaḍḍhati
โอกนฺตติ	Okantati
โอกปฺปติ	Okappati
โอกปฺปนา	Okappanā
โอกปฺเปติ	Okappeti
โอกมฺเปติ	Okampeti
โอกสฺสติ	Okassati
โอการ	Okāra
โอกาส	Okāsa
โอกาสติ	Okāsati
โอกิณฺณ	Okiṇṇa
โอกิรณ	Okiraṇa
โอกิรติ	Okirati
โอกิลินี	Okilinī
โอโกฏิมก	Okoṭimaka
โอกฺกนฺต	Okkanta
โอกฺกนฺติ	Okkanti
โอกฺกนฺติก	Okkantika
โอกฺกนฺทิก	Okkandika
โอกฺกมติ	Okkamati
โอกฺกมน	Okkamana
โอกฺกล	Okkala
โอกฺกสฺส	Okkassa
โอกฺขายติ	Okkhāyati
โอกฺขายิก	Okkhāyika
โอกฺขิต	Okkhita
โอกฺขิตฺต	Okkhitta
โอกฺขิปติ	Okkhipati
โอคจฺฉติ	Ogacchati
โอคณ	Ogaṇa
โอคธ	Ogadha
โอคมน	Ogamana
โอคหน	Ogahana
โอคาธ	Ogādha
โอคาห	Ogāha
โอคาหติ	Ogāhati
โอคาหน	Ogāhana
โอคิลติ	Ogilati
โอคุณฺฐิต	Oguṇṭhita
โอคุณฺเฐติ	Oguṇṭheti
โอคุมฺเผติ	Ogumpheti
โอคฺคต	Oggata
โอฆ	Ogha
โอฆน	Oghana
โอฆนิย	Oghaniya
โอจรก	Ocaraka
โอจรติ	Ocarati
โอจิณฺณ	Ociṇṇa
โอจิต	Ocita
โอจินาติ	Ocināti
โอจีรก	Ocīraka
โอจฺฉินฺทติ	Occhindati
โอชวนฺตฺ	Ojavant
โอชวนฺตตา	Ojavantatā
โอชหาติ	Ojahāti
โอชา	Ojā
โอชินาติ	Ojināti
โอญาต	Oñāta
โอฏฺฐ	Oṭṭha
โอฏฺฐุภติ	Oṭṭhubhati
โอฑฺฑิต	Oḍḍita
โอฑฺเฑติ	Oḍḍeti
โอฑฺฒ	Oḍḍha
โอณต	Oṇata
โอณมติ	Oṇamati
โอณมน	Oṇamana
โอณมิต	Oṇamita
โอณิ	Oṇi
โอณีต	Oṇīta
โอโณชน	Oṇojana
โอโณเชติ	Oṇojeti
โอตต	Otata
โอตรณ	Otaraṇa
โอตรติ	Otarati
โอตลฺลก	Otallaka
โอตาปก	Otāpaka
โอตาเปติ	Otāpeti
โอตาร	Otāra
โอตาเรติ	Otāreti
โอติณฺณ	Otiṇṇa
โอตฺตปฺป	Ottappa
โอตฺตปฺปติ	Ottappati
โอตฺตปฺปินฺ	Ottappin
โอตฺถฏ	Otthaṭa
โอตฺถต	Otthata
โอตฺถรก	Ottharaka
โอตฺถรณ	Ottharaṇa
โอตฺถรติ	Ottharati
โอทก	Odaka
โอทคฺย	Odagya
โอทน	Odana
โอทนิก	Odanika
โอทนิย	Odaniya
โอทปตฺตกินี	Odapattakinī
โอทปตฺติยา	Odapattiyā
โอทริก	Odarika
โอทริกตฺต	Odarikatta
โอทหติ	Odahati
โอทหน	Odahana
โอทาต	Odāta
โอทาตก	Odātaka
โอทิสฺส	Odissa
โอทิสฺสก	Odissaka
โอทีรก	Odīraka
โอทุมฺพร	Odumbara
โอธสฺต	Odhasta
โอธานีย	Odhānīya
โอธิ	Odhi
โอธิก	Odhika
โอธุนาติ	Odhunāti
โอนทฺธ	Onaddha
โอนนฺธติ	Onandhati
โอนมก	Onamaka
โอนมติ	Onamati
โอนมน	Onamana
โอนยฺหติ	Onayhati
โอนาห	Onāha
โอนีต	Onīta
โอเนติ	Oneti
โอโนเชติ	Onojeti
โอปกฺกมิก	Opakkamika
โอปกฺขินฺ	Opakkhin
โอปคุยฺห	Opaguyha
โอปตติ	Opatati
โอปติต	Opatita
โอปตฺต	Opatta
โอปธิก	Opadhika
โอปนยิก	Opanayika
โอปปกฺขิ	Opapakkhi
โอปปจฺจยิก	Opapaccayika
โอปปาติก	Opapātika
โอปปาตินฺ	Opapātin
โอปม	Opama
โอปมฺม	Opamma
โอปรชฺช	Oparajja
โอปวยฺห	Opavayha
โอปสมิก	Opasamika
โอปสายิก	Opasāyika
โอปาเฏติ	Opāṭeti
โอปาต	Opāta
โอปาเตติ	Opāteti
โอปาน	Opāna
โอปารมฺภ	Opārambha
โอปิย	Opiya
โอปิลวติ	Opilavati
โอปิลาปิต	Opilāpita
โอปิลาเปติ	Opilāpeti
โอปีเฬติ	Opīḷeti
โอปุญฺฉติ	Opuñchati
โอปุญฺฉน	Opuñchana
โอปุญฺเชติ	Opuñjeti
โอปุนาติ	Opunāti
โอปุปฺผ	Opuppha
โอเปติ	Opeti
โอผุฏ	Ophuṭa
โอพนฺธติ	Obandhati
โอภคฺค	Obhagga
โอภญฺชติ	Obhañjati
โอภต	Obhata
โอภรติ	Obharati
โอภาส	Obhāsa
โอภาสติ	Obhāsati
โอภาสน	Obhāsana
โอโภค	Obhoga
โอม	Oma
โอมก	Omaka
โอมฏฺฐ	Omaṭṭha
โอมทฺทติ	Omaddati
โอมสติ	Omasati
โอมสนา	Omasanā
โอมาน	Omāna
โอมิสฺสก	Omissaka
โอมุกฺก	Omukka
โอมุญฺจติ	Omuñcati
โอมุตฺต	Omutta
โอมุตฺเตติ	Omutteti
โอยาจติ	Oyācati
โอร	Ora
โอรก	Oraka
โอรต	Orata
โอรพฺภิก	Orabbhika
โอรมติ	Oramati
โอรมาเปติ	Oramāpeti
โอรมฺภาคิย	Orambhāgiya
โอรวิตรฺ	Oravitar
โอรส	Orasa
โอริม	Orima
โอรุทฺธ	Oruddha
โอรุนฺธติ	Orundhati
โอโรธ	Orodha
โอโรปณ	Oropaṇa
โอโรเปติ	Oropeti
โอโรหณ	Orohaṇa
โอโรหติ	Orohati
โอลคฺค	Olagga
โอลคฺเคติ	Olaggeti
โอลงฺฆนา	Olaṅghanā
โอลงฺเฆติ	Olaṅgheti
โอลมฺพ	Olamba
โอลมฺพก	Olambaka
โอลมฺพติ	Olambati
โอลมฺพนก	Olambanaka
โอลิขติ	Olikhati
โอลิคลฺล	Oligalla
โอลิยติ	Oliyati
โอลีน	Olīna
โอลียนา	Olīyanā
โอลุคฺค	Olugga
โอลุชฺชติ	Olujjati
โอลุพฺภ	Olubbha
โอลุมฺเปติ	Olumpeti
โอโลกน	Olokana
โอโลกนก	Olokanaka
โอโลเกติ	Oloketi
โอฬาร	Oḷāra
โอฬาริก	Oḷārika
โอฬุมฺปิก	Oḷumpika
โอวช	Ovaja
โอวฏ	Ovaṭa
โอวฏฺฏิก	Ovaṭṭika
โอวทติ	Ovadati
โอวทิย	Ovadiya
โอวทฺเธยฺย	Ovaddheyya
โอวมติ	Ovamati
โอวรก	Ovaraka
โอวริยาน	Ovariyāna
โอวสฺส	Ovassa
โอวสฺสติ	Ovassati
โอวหติ	Ovahati
โอวาท	Ovāda
โอวาทก	Ovādaka
โอวาทินฺ	Ovādin
โอวิชฺฌติ	Ovijjhati
โอวุต	Ovuta
โอวุยฺหติ	Ovuyhati
โอสกฺกติ	Osakkati
โอสชฺชติ	Osajjati
โอสฏ	Osaṭa
โอสณฺเหติ	Osaṇheti
โอสธ	Osadha
โอสธิก	Osadhika
โอสธิกา	Osadhikā
โอสธี	Osadhī
โอสนฺน	Osanna
โอสปฺปติ	Osappati
โอสรก	Osaraka
โอสรณ	Osaraṇa
โอสรติ	Osarati
โอสาน	Osāna
โอสาเปติ	Osāpeti
โอสารก	Osāraka
โอสารณา	Osāraṇā
โอสาริต	Osārita
โอสาเรติ	Osāreti
โอสิญฺจติ	Osiñcati
โอสิต	Osita
โอสิตฺต	Ositta
โอสีทติ	Osīdati
โอสีทน	Osīdana
โอสฺส	Ossa
โอสฺสกฺกฺ	Ossakk°
โอสฺสคฺค	Ossagga
โอสฺสชฺชติ	Ossajjati
โอสฺสชฺชน	Ossajjana
โอสฺสฏฺฐ	Ossaṭṭha
โอสฺสนฺน	Ossanna
โอสฺสวน	Ossavana
โอหน	Ohana
โอหนติ	Ohanati
โอหรณ	Oharaṇa
โอหรติ	Oharati
โอหาย	Ohāya
โอหาร	Ohāra
โอหารณ	Ohāraṇa
โอหารินฺ	Ohārin
โอหาเรติ	Ohāreti
โอหิต	Ohita
โอหิยฺยก	Ohiyyaka
โอหีน	Ohīna
โอหียติ	Ohīyati
โอหีฬนา	Ohīḷanā
ก	Ka°
กํส	Kaṃsa
กํสติ	Kaṃsati
กกจ	Kakaca
กกณฺฏก	Kakaṇṭaka
กกุ	Kaku
กกุฏ	Kakuṭa
กกุตฺถก	Kakutthaka
กกุธ	Kakudha
กกฺก	Kakka
กกฺกฏ	Kakkaṭa
กกฺกฏก	Kakkaṭaka
กกฺกร	Kakkara
กกฺกรตา	Kakkaratā
กกฺกริย	Kakkariya
กกฺกรุ	Kakkaru
กกฺกส	Kakkasa
กกฺกสฺส	Kakkassa
กกฺการิก	Kakkārika
กกฺการุ	Kakkāru
กกฺกาเรติ	Kakkāreti
กกฺกุ	Kakku
กกฺโกฏก	Kakkoṭaka
กกฺโกล	Kakkola
กกฺขฬ	Kakkhaḷa
กกฺขฬตา	Kakkhaḷatā
กกฺขฬตฺต	Kakkhaḷatta
กกฺขฬิย	Kakkhaḷiya
กงฺก	Kaṅka
กงฺกต	Kaṅkata
กงฺกณ	Kaṅkaṇa
กงฺกล	Kaṅkala
กงฺกุฏฺฐก	Kaṅkuṭṭhaka
กงฺขติ	Kaṅkhati
กงฺขน	Kaṅkhana
กงฺขนีย	Kaṅkhanīya
กงฺขา	Kaṅkhā
กงฺขายติ	Kaṅkhāyati
กงฺขายนา	Kaṅkhāyanā
กงฺขินฺ	Kaṅkhin
กงฺคุ	Kaṅgu
กจ	Kaca
กจวร	Kacavara
กจฺจิ	Kacci
กจฺจิการ	Kaccikāra
กจฺฉ	Kaccha
กจฺฉก	Kacchaka
กจฺฉติ	Kacchati
กจฺฉนฺตร	Kacchantara
กจฺฉป	Kacchapa
กจฺฉปก	Kacchapaka
กจฺฉปุฏ	Kacchapuṭa
กจฺฉา	Kacchā
กจฺฉิการ	Kacchikāra
กจฺฉุ	Kacchu
กชฺชล	Kajjala
กชฺโชปกฺกมก	Kajjopakkamaka
กญฺจก	Kañcaka
กญฺจน	Kañcana
กญฺจนก	Kañcanaka
กญฺจุก	Kañcuka
กญฺชก	Kañjaka
กญฺชิก	Kañjika
กญฺชิย	Kañjiya
กญฺญา	Kaññā
กฏ	Kaṭa
กฏก	Kaṭaka
กฏกญฺจุกตา	Kaṭakañcukatā
กฏกฏายติ	Kaṭakaṭāyati
กฏจฺฉุ	Kaṭacchu
กฏจฺฉุก	Kaṭacchuka
กฏน	Kaṭana
กฏลฺลก	Kaṭallaka
กฏสี	Kaṭasī
กฏากฏ	Kaṭākaṭa
กฏาห	Kaṭāha
กฏิ	Kaṭi
กฏุก	Kaṭuka
กฏุกญฺจุกตา	Kaṭukañcukatā
กฏุกตฺต	Kaṭukatta
กฏุมิกา	Kaṭumikā
กฏุล	Kaṭula
กฏุวิย	Kaṭuviya
กเฏรุกฺข	Kaṭerukkha
กเฏรุห	Kaṭeruha
กฏฺฐ	Kaṭṭha
กฏฺฐก	Kaṭṭhaka
กฏฺฐิสฺส	Kaṭṭhissa
กฐติ	Kaṭhati
กฐล	Kaṭhala
กฐลก	Kaṭhalaka
กฐิน	Kaṭhina
กฐินก	Kaṭhinaka
กฑฺฒติ	Kaḍḍhati
กฑฺฒน	Kaḍḍhana
กฑฺฒนก	Kaḍḍhanaka
กณ	Kaṇa
กณย	Kaṇaya
กณวีร	Kaṇavīra
กณเวร	Kaṇavera
กณาชก	Kaṇājaka
กณิกา	Kaṇikā
กณิการ	Kaṇikāra
กเณริก	Kaṇerika
กเณรุ	Kaṇeru
กณฺฏ	Kaṇṭa
กณฺฏก	Kaṇṭaka
กณฺฏกิ	Kaṇṭaki
กณฺฐ	Kaṇṭha
กณฺฐก	Kaṇṭhaka
กณฺฑ	Kaṇḍa
กณฺฑก	Kaṇḍaka
กณฺฑรา	Kaṇḍarā
กณฺฑิต	Kaṇḍita
กณฺฑินฺ	Kaṇḍin
กณฺฑุ	Kaṇḍu
กณฺฑุก	Kaṇḍuka
กณฺฑุวติ	Kaṇḍuvati
กณฺฑุวน	Kaṇḍuvana
กณฺฑุส	Kaṇḍusa
กณฺฑูยน	Kaṇḍūyana
กณฺโฑลิกา	Kaṇḍolikā
กณฺณ	Kaṇṇa
กณฺณก	Kaṇṇaka
กณฺณวนฺตฺ	Kaṇṇavant
กณฺณิกา	Kaṇṇikā
กณฺณิการ	Kaṇṇikāra
กณฺห	Kaṇha
กต	Kata
กตก	Kataka
กตญฺญุ	Kataññu
กตญฺญุตา	Kataññutā
กตตฺต	Katatta
กตน	Katana
กตม	Katama
กตร	Katara
กตเวทิตา	Kataveditā
กตเวทินฺ	Katavedin
กตาวินฺ	Katāvin
กติ	Kati
กติกา	Katikā
กติปย	Katipaya
กติปาหนฺ	Katipāhan
กติม	Katima
กติวสฺส	Kativassa
กติวิธ	Katividha
กเต	Kate
กตฺต	Katta
กตฺตพฺพ	Kattabba
กตฺตพฺพก	Kattabbaka
กตฺตพฺพตา	Kattabbatā
กตฺตรฺ	Kattar
กตฺตร	Kattara
กตฺตริ	Kattari
กตฺตริกา	Kattarikā
กตฺติกา	Kattikā
กตฺตุ	Kattu°
กตฺถ	Kattha
กตฺถติ	Katthati
กตฺถิตรฺ	Katthitar
กตฺถินฺ	Katthin
กตฺถุ	Katthu
กถํ	Kathaṃ
กถน	Kathana
กถล	Kathala
กถลิ	Kathali
กถลิก	Kathalika
กถา	Kathā
กถาเปติ	Kathāpeti
กถาลิกา	Kathālikā
กถิก	Kathika
กถิกา	Kathikā
กถิต	Kathita
กถินฺ	Kathin
กเถติ	Katheti
กทฺ	Kad°
กทมฺพ	Kadamba
กทร	Kadara
กทริย	Kadariya
กทริยตา	Kadariyatā
กทล	Kadala
กทลี	Kadalī
กทา	Kadā
กทฺทม	Kaddama
กนก	Kanaka
กนิฏฺฐ	Kaniṭṭha
กนิฏฺฐก	Kaniṭṭhaka
กนิฏฺฐตฺต	Kaniṭṭhatta
กนิฏฺฐี	Kaniṭṭhī
กนิย	Kaniya
กนฺต	Kanta
กนฺตติ	Kantati
กนฺตาร	Kantāra
กนฺตาริย	Kantāriya
กนฺติก	Kantika
กนฺติต	Kantita
กนฺท	Kanda
กนฺทติ	Kandati
กนฺทน	Kandana
กนฺทร	Kandara
กนฺทล	Kandala
กนฺทฬ	Kandaḷa
กนฺทิต	Kandita
กนฺน	Kanna
กนฺนาม	Kannāma
กปณ	Kapaṇa
กปณิกา	Kapaṇikā
กปลฺล	Kapalla
กปลฺลก	Kapallaka
กปาล	Kapāla
กปาลก	Kapālaka
กปาส	Kapāsa
กปิ	Kapi
กปิญฺชล	Kapiñjala
กปิฏฺฐ	Kapiṭṭha
กปิฐน	Kapiṭhana
กปิตฺถน	Kapitthana
กปิล	Kapila
กปิสีส	Kapisīsa
กโปต	Kapota
กโปล	Kapola
กปฺป	Kappa
กปฺปก	Kappaka
กปฺปฏ	Kappaṭa
กปฺปตา	Kappatā
กปฺปติ	Kappati
กปฺปน	Kappana
กปฺปร	Kappara
กปฺปาส	Kappāsa
กปฺปาสิก	Kappāsika
กปฺปาสี	Kappāsī
กปฺปิก	Kappika
กปฺปิต	Kappita
กปฺปินฺ	Kappin
กปฺปิย	Kappiya
กปฺปุ	Kappu
กปฺปูร	Kappūra
กปฺเปติ	Kappeti
กพร	Kabara
กพล	Kabala
กพลิงฺการ	Kabaliṅkāra
กพฬิกา	Kabaḷikā
กพฺพ	Kabba
กพฺย	Kabya
กม	Kama
กมณ	Kamaṇa
กมณฺฑลุ	Kamaṇḍalu
กมติ	Kamati
กมตฺถํ	Kamatthaṃ
กมนีย	Kamanīya
กมล	Kamala
กมลินฺ	Kamalin
กมฺป	Kampa
กมฺปก	Kampaka
กมฺปติ	Kampati
กมฺปน	Kampana
กมฺปินฺ	Kampin
กมฺปิย	Kampiya
กมฺปุรี	Kampurī
กมฺพล	Kambala
กมฺพลินฺ	Kambalin
กมฺพลีย	Kambalīya
กมฺพุ	Kambu
กมฺพุสฺส	Kambussa
กมฺโพชก	Kambojaka
กมฺโพชา	Kambojā
กมฺโพชิ	Kamboji
กมฺม	Kamma
กมฺมก	Kammaka
กมฺมนีย	Kammanīya
กมฺมญฺญตา	Kammaññatā
กมฺมนฺต	Kammanta
กมฺมนฺติก	Kammantika
กมฺมาร	Kammāra
กมฺมาส	Kammāsa
กมฺมิก	Kammika
กมฺมินฺ	Kammin
กมฺย	Kamya
กมฺยา	Kamyā
กมฺยตา	Kamyatā
กย	Kaya
กยติ	Kayati
กยิก	Kayika
กยินฺ	Kayin
กรก	Karaka
กรกรา	Karakarā
กรญฺช	Karañja
กรณ	Karaṇa
กรณีย	Karaṇīya
กรณียตา	Karaṇīyatā
กรณฺฑ	Karaṇḍa
กรณฺฑก	Karaṇḍaka
กรติ	Karati
กรภ	Karabha
กรมนฺท	Karamanda
กรมร	Karamara
กรฬ	Karaḷa
กรวี	Karavī
กรวีก	Karavīka
กรวีย	Karavī̌ya
กรวีร	Karavīra
กรห	Karaha
กรินฺ	Karin
กริ-ปริพนฺธ	Kari-paribandha
กริปริพนฺธ	Kari-paribandha
กรีส	Karīsa
กรุณา	Karuṇā
กรุณายติ	Karuṇāyati
กรุมฺภก	Karumbhaka
กรุมฺหา	Karumhā
กเรณุ	Kareṇu
กเรณุกา	Kareṇukā
กเรริ	Kareri
กโรฏิ	Karoṭi
กโรฏิก	Karoṭika
กโรฏิย	Karoṭiya
กโรติ	Karoti
กลกล	Kalakala
กลติ	Kalati
กลนฺท	Kalanda
กลนฺทก	Kalandaka
กลภ	Kalabha
กลมฺพ	Kalamba
กลมฺพก	Kalambaka
กลมฺพุกา	Kalambukā
กลล	Kalala
กลส	Kalasa
กลห	Kalaha
กลา	Kalā
กลาป	Kalāpa
กลาปก	Kalāpaka
กลาปินฺ	Kalāpin
กลาพุก	Kalābuka
กลาย	Kalāya
กลายติ	Kalāyati
กลาร	Kalāra
กลิ	Kali
กลิงฺคร	Kaliṅgara
กลินฺคุ	Kalingu
กลิต	Kalita
กลุส	Kalusa
กเลวร	Kalevara
กลฺย	Kalya
กลฺยตา	Kalyatā
กลฺยาณ	Kalyāṇa
กลฺยาณก	Kalyāṇaka
กลฺยาณตา	Kalyāṇatā
กลฺยาณินฺ	Kalyāṇin
กลฺล	Kalla
กลฺลก	Kallaka
กลฺลตา	Kallatā
กลฺลหาร	Kallahāra
กลฺลิต	Kallita
กลฺโลล	Kallola
กฬาย	Kaḷāya
กฬาร	Kaḷāra
กฬาริกา	Kaḷārikā
กฬินฺคร	Kaḷingara
กฬิมฺภก	Kaḷimb(h)aka
กฬีร	Kaḷīra
กเฬพร	Kaḷebara
กโฬปี	Kaḷopī
กวจ	Kavaca
กวนฺธ	Kavandha
กวาฏ	Kavāṭa
กวาฏก	Kavāṭaka
กวี	Kavī
กวิฏฺฐ	Kaviṭṭha
กวฺย	Kavya
กสก	Kasaka
กสฏ	Kasaṭa
กสติ	Kasati
กสน	Kasana
กสมฺพุ	Kasambu
กสา	Kasā
กสาย	Kasāya
กสายตฺต	Kasāyatta
กสิ	Kasi
กสิณ	Kasiṇa
กสิต	Kasita
กสิร	Kasira
กเสรุก	Kaseruka
กสฺสก	Kassaka
กสฺสติ	Kassati
กสฺสาม	Kassāma
กหํ	Kahaṃ
กหาปณ	Kahāpaṇa
กหาปณก	Kahāpaṇaka
กา	Kā
กาก	Kāka
